Rules ,Non-Terminal,First,Follow
program → declaration-list EOF,program,"int, void",$$
declaration-list → declaration declaration-list-a,declaration-list,"int, void","(, ;, EOF, ID, NUM, break, continue, if, return, switch, while, {"
declaration-list-a → declaration declaration-list-a | ε,declaration-list-a,"EPSILON, int, void","(, ;, EOF, ID, NUM, break, continue, if, return, switch, while, {"
declaration → var-declaration | fun-declaration,declaration,"int, void","(, ;, EOF, ID, NUM, break, continue, if, int, return, switch, void, while, {"
var-declaration → type-specifier ID var-declaration-a,var-declaration,"int, void","(, ;, EOF, ID, NUM, break, continue, if, int, return, switch, void, while, {"
var-declaration-a → ; | [ NUM ] ;,var-declaration-a,";, [","(, ;, EOF, ID, NUM, break, continue, if, int, return, switch, void, while, {"
type-specifier → int | void,type-specifier,"int, void",ID
fun-declaration → type-specifier ID ( params ) compound-stmt,fun-declaration,"int, void","(, ;, EOF, ID, NUM, break, continue, if, int, return, switch, void, while, {"
params → param-list | void,params,"int, void",)
param-list → param param-list-a,param-list,"int, void",)
"param-list-a → , param param-list-a | ε",param-list-a,",, EPSILON",)
param → type-specifier ID param-a,param,"int, void","), ,"
param-a → ε | [ ],param-a,"EPSILON, [","), ,"
compound-stmt → { declaration-list statement-list },compound-stmt,{,"(, ;, EOF, ID, NUM, break, case, continue, default, else, if, int, return, switch, void, while, {, }"
statement-list → statement statement-list | ε,statement-list,"(, ;, EPSILON, ID, NUM, break, continue, if, return, switch, while, {","case, default, }"
statement → expression-stmt | compound-stmt | selection-stmt | iteration-stmt | return-stmt | switch-stmt,statement,"(, ;, ID, NUM, break, continue, if, return, switch, while, {","(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
expression-stmt → expression ; | continue ; | break ; | ;,expression-stmt,"(, ;, ID, NUM, break, continue","(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
selection-stmt → if ( expression ) statement else statement,selection-stmt,if,"(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
iteration-stmt → while ( expression ) statement,iteration-stmt,while,"(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
return-stmt → return return-stmt-a,return-stmt,return,"(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
return-stmt-a → ; | expression ;,return-stmt-a,"(, ;, ID, NUM","(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
switch-stmt → switch ( expression ) { case-stmts default-stmt },switch-stmt,switch,"(, ;, ID, NUM, break, case, continue, default, else, if, return, switch, while, {, }"
case-stmts → case-stmt case-stmts | ε,case-stmts,"EPSILON, case",default
case-stmt → case NUM : statement-list,case-stmt,case,"case, default"
default-stmt → default : statement-list | ε,default-stmt,"EPSILON, default",}
expression → var = expression | simple-expression,expression,"(, ID, NUM","), ,, ;, ]"
var → ID var-a,var,ID,"), *, +, ,, -, ;, <, =, ==, ]"
var-a → ε | [ expression ],var-a,"EPSILON, [","), *, +, ,, -, ;, <, =, ==, ]"
simple-expression → additive-expression simple-expression-a,simple-expression,"(, ID, NUM","), ,, ;, ]"
simple-expression-a → relop additive-expression | ε,simple-expression-a,"<, ==, EPSILON","), ,, ;, ]"
relop → < | ==,relop,"<, ==","(, ID, NUM"
additive-expression → term additive-expression-a,additive-expression,"(, ID, NUM","), ,, ;, <, ==, ]"
additive-expression-a → addop term additive-expression-a | ε,additive-expression-a,"+, -, EPSILON","), ,, ;, <, ==, ]"
addop → + | -,addop,"+, -","(, ID, NUM"
term → factor term-a,term,"(, ID, NUM","), +, ,, -, ;, <, ==, ]"
term-a → * factor term-a | ε,term-a,"*, EPSILON","), +, ,, -, ;, <, ==, ]"
factor → ( expression ) | var | call | NUM,factor,"(, ID, NUM","), *, +, ,, -, ;, <, ==, ]"
call → ID ( args ),call,ID,"), *, +, ,, -, ;, <, ==, ]"
args → arg-list | ε,args,"(, EPSILON, ID, NUM",)
arg-list → expression arg-list-a,arg-list,"(, ID, NUM",)
"arg-list-a → , expression arg-list-a | ε",arg-list-a,",, EPSILON",)
,,,"), *, +, ,, -, ;, <, =, ==, ]"
,,,"case, default, }"
